purchase_id,purchase_date,product_id,quantity,unit_cost,total_cost
PO459990,2025-11-29 23:09:49,1001,3,1500.0,4500.0
PO750884,2025-11-29 23:12:55,1010,2,1300.0,2600.0
PO269304,2025-11-29 23:42:35,1020,1,2200.0,2200.0
PO165551,2025-12-01 20:23:44,1001,8,1500.0,12000.0
PO805433,2025-12-03 14:25:12,1001,9,1500.0,13500.0
PO635846,2025-12-03 14:44:14,1001,9,1500.0,13500.0
PO324948,2025-12-03 14:44:14,1002,6,900.0,5400.0
PO926067,2025-12-03 14:44:14,1003,5,850.0,4250.0
PO329175,2025-12-03 14:44:14,1005,9,1800.0,16200.0
PO679853,2025-12-03 14:44:14,1007,8,1400.0,11200.0
PO322161,2025-12-03 14:44:14,1008,5,1100.0,5500.0
PO415338,2025-12-03 14:44:14,1010,10,1300.0,13000.0
PO579557,2025-12-03 14:44:14,1011,5,1000.0,5000.0
PO171796,2025-12-03 14:44:14,1013,5,1700.0,8500.0
PO854440,2025-12-03 14:44:14,1014,10,2000.0,20000.0
PO375118,2025-12-03 14:44:14,1018,7,1400.0,9800.0
PO949561,2025-12-03 14:44:14,1020,10,2200.0,22000.0
PO201426,2025-12-03 19:27:07,1001,16,1500.0,24000.0
