order_id,order_date,product_id,quantity
SO342145,2023-05-12,1010,2
SO645104,2025-01-03,1009,1
SO814339,2023-11-23,1006,7
SO634824,2023-12-18,1017,3
SO727555,2023-10-13,1013,3
SO426053,2025-12-04,1001,3
SO529081,2024-09-07,1001,1
SO500594,2025-04-18,1017,3
SO638608,2024-06-23,1018,5
SO185811,2023-04-06,1007,2
SO474271,2024-09-09,1003,4
SO535977,2024-09-08,1003,4
SO570576,2023-05-06,1012,5
SO172186,2024-05-02,1010,3
SO628345,2024-11-25,1018,2
SO781460,2024-08-20,1002,1
SO334514,2023-06-26,1004,4
SO162133,2024-08-01,1011,5
SO616959,2025-12-24,1004,2
SO564405,2024-06-05,1012,4
SO112748,2024-08-22,1016,1
SO287678,2025-11-15,1015,5
SO362917,2023-11-23,1011,2
SO424372,2023-11-26,1017,5
SO363664,2024-05-07,1017,5
SO916919,2025-01-30,1007,2
SO472351,2023-04-12,1005,5
SO899622,2023-10-28,1001,5
SO260858,2023-04-22,1002,5
SO322077,2024-07-19,1015,2
SO942666,2023-11-04,1018,6
SO656003,2023-01-16,1018,2
SO519118,2024-10-13,1015,2
SO664371,2025-10-28,1019,3
SO293328,2025-09-21,1020,3
SO396669,2025-03-29,1015,3
SO543848,2025-05-10,1008,2
SO304415,2023-05-23,1007,2
SO544000,2025-06-13,1015,2
SO487346,2023-12-18,1002,3
SO837879,2023-05-04,1006,4
SO744121,2023-04-15,1020,3
SO552305,2025-04-13,1018,3
SO172773,2025-11-23,1010,6
SO420930,2023-06-07,1012,1
SO138644,2023-10-29,1017,5
SO903597,2025-03-13,1002,1
SO488027,2024-10-08,1005,5
SO510678,2025-04-20,1001,1
SO484440,2023-11-17,1004,5
SO335100,2024-01-11,1014,3
SO673391,2024-03-20,1009,5
SO651217,2025-01-13,1008,3
SO453221,2025-01-10,1016,4
SO603748,2024-05-20,1011,1
SO372222,2024-10-30,1009,3
SO469055,2025-08-07,1004,4
SO619170,2025-11-16,1007,4
SO300075,2023-11-20,1003,5
SO974948,2023-05-23,1001,4
SO110021,2025-01-21,1006,4
SO312717,2023-10-15,1002,4
SO662558,2024-03-21,1015,2
SO795648,2023-02-25,1004,5
SO699486,2023-07-21,1011,5
SO304168,2023-12-03,1015,3
SO969850,2023-07-24,1007,5
SO158363,2025-04-25,1002,3
SO331021,2023-02-10,1005,5
SO856832,2023-07-07,1012,4
SO816723,2023-05-14,1019,5
SO209839,2024-09-12,1019,5
SO954402,2025-04-09,1006,1
SO770127,2025-01-26,1019,5
SO264426,2023-08-25,1020,2
SO475701,2024-02-04,1007,1
SO296361,2025-03-28,1019,3
SO353476,2023-12-21,1004,5
SO259976,2023-07-03,1014,1
SO386291,2025-05-21,1001,2
SO701674,2025-09-02,1004,5
SO485118,2025-05-03,1001,4
SO940015,2023-04-08,1013,4
SO511735,2025-05-30,1019,4
SO475544,2024-01-27,1014,4
SO436300,2024-10-13,1001,2
SO228427,2024-01-19,1003,4
SO372091,2023-03-11,1015,5
SO581645,2025-04-26,1002,4
SO678171,2025-04-22,1007,4
SO600798,2023-11-04,1018,3
SO413869,2023-08-11,1010,3
SO879449,2024-02-23,1020,1
SO490439,2024-08-02,1003,1
SO503272,2025-05-27,1010,1
SO322309,2025-01-27,1016,2
SO172607,2025-11-22,1002,3
SO202056,2025-10-29,1007,7
SO582611,2025-04-26,1003,5
SO620405,2023-09-07,1011,2
SO884761,2023-07-19,1006,5
SO385284,2025-08-17,1011,3
SO306325,2025-03-04,1002,5
SO394697,2025-04-15,1010,1
SO537644,2023-11-15,1013,4
SO481031,2024-09-18,1020,2
SO115283,2023-01-17,1008,1
SO204912,2023-03-30,1002,4
SO674838,2023-11-24,1017,6
SO233810,2024-07-19,1017,4
SO898272,2023-07-14,1008,4
SO488176,2025-08-10,1006,4
SO891479,2025-01-30,1012,2
SO449217,2025-12-24,1012,5
SO271714,2023-06-19,1015,1
SO194585,2023-09-12,1013,1
SO303759,2025-03-10,1012,3
SO138015,2023-02-14,1009,5
SO960333,2024-08-01,1008,1
SO465781,2024-07-26,1002,4
SO440796,2023-06-08,1006,4
SO425503,2024-04-16,1006,4
SO395855,2023-11-27,1012,4
SO502952,2023-03-06,1008,4
SO140490,2023-07-27,1019,2
SO849719,2025-04-21,1001,4
SO645117,2023-05-25,1003,4
SO397844,2024-02-29,1005,2
SO921990,2025-02-10,1003,4
SO812612,2025-05-02,1008,4
SO700526,2024-02-23,1015,2
SO164075,2023-11-19,1020,6
SO119954,2025-11-26,1007,6
SO112105,2025-03-30,1002,1
SO955850,2025-03-04,1010,2
SO466398,2023-12-27,1008,3
SO873311,2023-05-01,1015,5
SO293883,2023-10-04,1009,7
SO515269,2025-07-18,1007,4
SO939740,2023-08-17,1010,3
SO449533,2025-02-25,1015,3
SO746122,2025-07-15,1008,5
SO401787,2024-09-18,1016,5
SO525360,2023-08-07,1017,2
SO571914,2024-01-10,1014,1
SO199146,2024-07-16,1015,5
SO848665,2025-07-17,1016,1
SO830690,2025-09-05,1014,3
SO320776,2024-03-27,1011,3
SO468387,2025-03-24,1010,5
SO318328,2023-03-25,1004,1
SO668251,2025-06-26,1004,5
SO753227,2023-01-04,1009,5
SO914569,2024-10-27,1018,4
SO647179,2025-02-06,1001,1
SO699722,2023-12-01,1011,2
SO675299,2025-05-16,1011,5
SO549847,2025-02-22,1013,4
SO210964,2023-06-16,1015,4
SO871949,2023-06-27,1013,5
SO268121,2025-11-25,1016,6
SO556860,2023-03-20,1015,4
SO355038,2025-09-27,1003,4
SO137815,2023-02-21,1003,2
SO519970,2023-08-07,1017,1
SO366495,2024-07-24,1001,5
SO204684,2023-08-15,1019,5
SO111612,2025-07-22,1006,5
SO426977,2024-07-02,1019,4
SO184478,2025-10-10,1007,5
SO707532,2023-01-17,1011,3
SO924816,2023-06-14,1005,1
SO510716,2024-02-16,1005,1
SO104282,2024-12-21,1016,5
SO344465,2023-06-25,1008,3
SO661479,2025-03-20,1007,2
SO754767,2023-01-26,1006,2
SO821246,2025-02-16,1009,3
SO186464,2024-04-14,1017,2
SO778780,2023-12-10,1018,2
SO626369,2024-12-20,1018,3
SO584202,2023-03-14,1008,4
SO289186,2024-06-27,1017,1
SO490915,2023-06-16,1013,3
SO228087,2025-11-22,1016,3
SO450865,2025-04-13,1010,5
SO522361,2025-05-13,1005,1
SO932115,2024-05-26,1010,1
SO422919,2024-04-09,1002,1
SO837193,2024-04-09,1013,5
SO266991,2023-03-25,1008,3
SO548742,2024-02-23,1007,5
SO709834,2025-03-29,1012,5
SO748815,2024-07-14,1012,3
SO610204,2023-09-26,1007,2
SO542370,2024-01-16,1010,2
SO769622,2023-04-04,1007,2
SO731354,2023-02-14,1018,2
